code,name,lat,long,tambon,amphoe,province,provinceEng,basin,region,regionEng,station_type
BPPS,อบต.บางตาหงาย,15.9371344,99.9916864,บางตาหงาย,บรรพตพิสัย,นครสวรรค์,Nakhon Sawan,แม่น้ำปิง,ภาคเหนือ,North,R
TTWY,ทม.วังน้ำเย็น,13.5010944,102.1802304,วังน้ำเย็น,วังน้ำเย็น,สระแก้ว,Sa Kaeo,แม่น้ำปราจีนบุรี,ภาคกลาง,Central,R
KOSB,รพสต.ท่าข้าม,13.6276544,102.5748416,ท่าข้าม,อรัญประเทศ,สระแก้ว,Sa Kaeo,โตนเลสาป,ภาคกลาง,Central,R
BDCP,อบต.ด่านชุมพล,12.4447144,102.6300672,ด่านชุมพล,บ่อไร่,ตราด,Trat,ชายฝั่งทะเลตะวันออก,ภาคกลาง,Central,R
MEWG,อบต.บ้านกาด,18.6038928,98.7984704,บ้านกาด,แม่วาง,เชียงใหม่,Chiang Mai,แม่น้ำปิง,ภาคเหนือ,North,R
BDLH,ทต.ลานหอย,17.008568,99.582944,ลานหอย,บ้านด่านลานหอย,สุโขทัย,Sukhothai,แม่น้ำยม,ภาคเหนือ,North,R
DIWO,ทต.เวียงพางคำ,20.4035376,99.8857536,เวียงพางคำ,แม่สาย,เชียงราย,Chiang Rai,แม่น้ำโขง,ภาคเหนือ,North,R
PPPG,อบต.ปลายโพงพาง,13.3849432,99.9269632,ปลายโพงพาง,อัมพวา,สมุทรสงคราม,Samut Songkhram,แม่น้ำเพชรบุรี,ภาคกลาง,Central,R
CHAM,การประปา ทม.ชะอำ,12.7863152,99.9601856,ชะอำ,ชะอำ,เพชรบุรี,Phetchaburi,แม่น้ำเพชรบุรี,ภาคกลาง,Central,R
HSYO,ทต.ดงมะดะ,19.7471376,99.6835456,ดงมะดะ,แม่ลาว,เชียงราย,Chiang Rai,แม่น้ำกก,ภาคเหนือ,North,R
RCHM,อบต.ดอนยาง,13.0146712,99.9703424,ดอนยาง,เมืองเพชรบุรี,เพชรบุรี,Phetchaburi,แม่น้ำเพชรบุรี,ภาคกลาง,Central,R
PDAM,ทต.ท่ายาง,12.9634048,99.8983872,ท่ายาง,ท่ายาง,เพชรบุรี,Phetchaburi,แม่น้ำเพชรบุรี,ภาคกลาง,Central,R
